transaction_id,customer_id,account_id,transaction_date,feed_id,transaction_type,amount,status,update_timestamp
T1001,C001,A001,2026-08-21,CARD_DAILY,PURCHASE,120.50,COMPLETED,2026-08-21 08:01:00
T1002,C002,A002,2026-08-21,CARD_DAILY,PAYMENT,75.00,COMPLETED,2026-08-21 08:02:00
T1003,C003,A003,2026-08-21,CARD_DAILY,PURCHASE,200.00,COMPLETED,2026-08-21 08:03:00
T1003,C003,A003,2026-08-21,CARD_DAILY,PURCHASE,250.00,COMPLETED,2026-08-21 09:15:00
T1004,C004,A004,2026-08-21,CARD_DAILY,REFUND,40.00,COMPLETED,2026-08-21 08:04:00
T1005,C005,A005,2026-08-21,CARD_DAILY,PURCHASE,310.00,COMPLETED,2026-08-21 08:05:00
T1006,C006,A999,2026-08-21,CARD_DAILY,PURCHASE,99.00,COMPLETED,2026-08-21 08:06:00
T1007,C999,A006,2026-08-21,CARD_DAILY,PURCHASE,55.00,COMPLETED,2026-08-21 08:07:00
T1008,C007,A007,2026-08-21,CARD_DAILY,PURCHASE,80.00,REJECTED,2026-08-21 08:08:00
T1009,C008,A008,2026-08-21,CARD_DAILY,PURCHASE,,COMPLETED,2026-08-21 08:09:00
T1010,C009,A009,2026-08-21,CARD_DAILY,PURCHASE,-25.00,COMPLETED,2026-08-21 08:10:00
T1011,C010,A010,2026-08-21,CARD_DAILY,PAYMENT,500.00,COMPLETED,2026-08-21 08:11:00
T1012,C011,A011,2026-08-21,CARD_DAILY,PURCHASE,125.00,COMPLETED,2026-08-21 08:12:00
T1013,C012,A012,2026-08-21,ACH_DAILY,PAYMENT,65.00,COMPLETED,2026-08-21 08:13:00
T1014,C013,A013,2026-08-20,CARD_DAILY,PURCHASE,45.00,COMPLETED,2026-08-20 08:14:00
T1015,C014,A014,2026-08-21,CARD_DAILY,PURCHASE,220.00,COMPLETED,2026-08-21 08:15:00
